net,length_um
u_fft_core.shift_r4_data0_im\[7\],138.62µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_i\[1\],138.33µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[0\]\[10\],138.3µm
_13930_,138.095µm
_13738_,138.06µm
clknet_7_61__leaf_i_clk,137.8µm
u_fft_core.u_fft4.r_x1_re\[3\],137.79µm
_14424_,137.77µm
net2778,137.75µm
clknet_7_44__leaf_i_clk,137.75µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp1_tw_i\[0\],137.715µm
net3371,137.615µm
clknet_7_60__leaf_i_clk,137.565µm
net4091,137.455µm
net4095,137.44µm
u_fft_core.mdc_ff0_data0_im\[7\],137.395µm
net3858,137.32µm
net3850,137.05µm
net3772,136.97µm
clknet_7_89__leaf_i_clk,136.86µm
_14765_,136.75µm
u_fft_core.u_fft4.s1_od_sub_re\[1\],136.545µm
net3026,136.47µm
u_fft_core.mdc_ff1_data1_re\[5\],136.435µm
net3834,136.34µm
net3887,136.225µm
_13625_,136.09µm
_15210_,135.98µm
net2867,135.75µm
net3968,135.48µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.u_btfly2.o_data0_i\[1\],135.31µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage3.next_data1_i\[6\],135.13µm
net2902,135.085µm
net3720,134.985µm
u_fft_core.mdc_ff1_data1_re\[4\],134.94µm
u_fft_core.u_twiddle_interface.data1_im_q\[0\],134.765µm
net3152,134.73µm
net2992,134.725µm
u_fft_core.u_buffer_parallel2serial.read_ptr\[1\],134.615µm
clknet_7_6__leaf_i_clk,134.49µm
u_fft_core.u_twiddle_interface.data2_re_q\[2\],134.29µm
net2844,134.18µm
net3673,134.1µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage3.next_data0_i\[2\],134.04µm
u_fft_core.mdc_ff2_data0_im\[2\],133.81µm
_05064_,133.63µm
_05855_,133.58µm
net3525,133.415µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.ds_switch_stage1.r_idata_i\[1\]\[0\],133.32µm
clknet_7_100__leaf_i_clk,133.24µm
net2949,133.22µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data1_i\[1\],133.2µm
net2948,133.055µm
_18012_,132.715µm
net2782,132.67µm
u_fft_core.fft4_data1_im\[2\],132.645µm
net2799,132.465µm
net3046,132.32µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.r_bt0_i\[0\]\[5\],132.31µm
clknet_7_53__leaf_i_clk,132.29µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.ds_switch_stage1.r_idata_i\[1\]\[2\],132.26µm
net3532,131.955µm
net3158,131.935µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage3.next_data1_i\[2\],131.805µm
clknet_7_76__leaf_i_clk,131.795µm
u_fft_core.shift_r4_data2_re\[3\],131.785µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.u_btfly2.o_data0_i\[2\],131.71µm
_14788_,131.46µm
_15446_,131.41µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage3.next_data0_r\[7\],131.4µm
_14865_,131.1µm
_03459_,131.01µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.r_idata_i\[1\]\[1\],130.93µm
net3590,130.93µm
u_fft_core.shift_r2_ff2_data1_re\[0\],130.915µm
u_fft_core.u_twiddle_interface.data3_re_q\[2\],130.82µm
clknet_7_13__leaf_i_clk,130.76µm
net2943,130.745µm
net2976,130.505µm
net3764,130.425µm
net3080,130.405µm
clknet_7_66__leaf_i_clk,130.24µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[0\]\[11\],130.15µm
_14921_,130.08µm
u_fft_core.shift_r4_data2_im\[6\],130.05µm
clknet_7_39__leaf_i_clk,129.92µm
net2822,129.875µm
_03414_,129.75µm
net3552,129.725µm
net2772,129.7µm
_13186_,129.675µm
_14715_,129.61µm
_05154_,129.605µm
clknet_7_120__leaf_i_clk,129.4µm
u_fft_core.mdc_ff1_data0_re\[7\],129.39µm
net3039,129.33µm
net2975,129.295µm
clknet_7_71__leaf_i_clk,129.255µm
clknet_7_46__leaf_i_clk,129.225µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.ds_switch_stage1.current_state,129.14µm
net3027,128.97µm
_15302_,128.9µm
_14998_,128.715µm
clknet_7_119__leaf_i_clk,128.63µm
net3897,128.565µm
net3232,128.435µm
_16504_,128.33µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.r_pp1_tw_r\[1\],128.305µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.r_idata_r\[1\]\[8\],128.12µm
u_fft_core.u_twiddle_interface.data2_im_q\[2\],127.95µm
net3142,127.91µm
net3801,127.62µm
_15230_,127.535µm
net3872,127.485µm
net3789,127.425µm
net4046,127.315µm
u_fft_core.mdc_ff1_data1_re\[7\],127.16µm
u_fft_core.u_fft4.r_x1_re\[7\],127.12µm
net3004,126.93µm
_06777_,126.835µm
net3192,126.785µm
_15003_,126.55µm
u_fft_core.mdc_ff1_data1_re\[3\],126.475µm
net2851,126.455µm
net3625,126.455µm
u_fft_core.u_twiddle_interface.data0_re_q\[5\],126.405µm
clknet_7_18__leaf_i_clk,126.275µm
net3180,126.12µm
net2774,126.08µm
_03739_,126.07µm
_06817_,126.02µm
clknet_7_16__leaf_i_clk,125.98µm
net3924,125.805µm
_02722_,125.77µm
_15090_,125.505µm
net3015,125.49µm
_11782_,125.455µm
_14786_,125.41µm
_14816_,125.37µm
net3782,125.325µm
net3813,125.28µm
net3983,125.25µm
net2780,125.11µm
u_fft_core.u_fft4.s1_od_sub_im\[0\],124.995µm
net3199,124.89µm
_03514_,124.885µm
net3343,124.885µm
clknet_7_59__leaf_i_clk,124.88µm
u_fft_core.u_fft4.s2_x3_im\[1\],124.655µm
net3900,124.18µm
_08645_,124.12µm
u_debug_sys.u_debug_unit.mid_data_re_sync\[2\],124.02µm
_14846_,123.97µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_r\[8\],123.825µm
_02840_,123.82µm
net2878,123.77µm
net3809,123.715µm
_05153_,123.665µm
net3011,123.585µm
_05639_,123.47µm
net3290,123.37µm
_02454_,123.36µm
_14968_,122.89µm
net2856,122.79µm
net3622,122.775µm
net3054,122.71µm
u_fft_core.mdc_ff2_data1_im\[4\],122.53µm
net35,122.495µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_i\[1\],122.4µm
clknet_7_62__leaf_i_clk,122.39µm
net3463,122.185µm
net2842,122.17µm
_08294_,122.14µm
u_fft_core.mdc_ff0_data1_im\[4\],122.13µm
net3222,122.13µm
u_fft_core.mdc_ff0_data0_re\[4\],122.015µm
net2790,122µm
clknet_7_106__leaf_i_clk,121.685µm
_14349_,121.63µm
net3651,120.82µm
clknet_7_37__leaf_i_clk,120.79µm
net3727,120.735µm
net2828,120.695µm
net3096,120.64µm
_05069_,120.635µm
u_fft_core.mdc_ff2_data0_im\[5\],120.55µm
net3311,120.4µm
net2831,120.39µm
net4121,120.345µm
clknet_7_74__leaf_i_clk,120.215µm
clknet_7_38__leaf_i_clk,120.21µm
net3363,120.17µm
net3454,120.135µm
u_fft_core.u_twiddle_interface.data0_re_q\[0\],120.01µm
u_fft_core.u_twiddle_interface.data0_re_q\[4\],120.01µm
net3570,119.985µm
u_fft_core.u_fft4.r_x2_im\[0\],119.89µm
clknet_7_22__leaf_i_clk,119.86µm
_18180_,119.71µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.r_idata_r\[1\]\[1\],119.52µm
net3926,119.47µm
net2945,119.22µm
_18161_,119.05µm
u_fft_core.shift_r4_data3_im\[1\],118.85µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_r\[5\],118.81µm
net2901,118.81µm
net3817,118.715µm
net3147,118.605µm
clknet_7_28__leaf_i_clk,118.595µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage3.next_data1_r\[0\],118.5µm
net3300,118.435µm
clknet_7_93__leaf_i_clk,118.405µm
clknet_7_0__leaf_i_clk,118.365µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_i\[1\],118.34µm
u_fft_core.u_fft4.s1_ev_sum_re\[8\],118.335µm
_13731_,118.33µm
u_fft_core.shift_r4_data2_re\[5\],118.285µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_i\[6\],118.21µm
net2955,118.07µm
_15095_,117.985µm
u_fft_core.u_fft4.s1_ev_sub_re\[5\],117.955µm
u_fft_core.mdc_ff0_data0_im\[4\],117.925µm
clknet_7_78__leaf_i_clk,117.815µm
clknet_7_96__leaf_i_clk,117.775µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_r\[6\],117.76µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.ds_switch_stage1.current_state,117.72µm
net3672,117.365µm
clknet_7_79__leaf_i_clk,117.265µm
_14923_,117.26µm
u_fft_core.u_twiddle_interface.data1_im_q\[1\],117.25µm
clknet_7_52__leaf_i_clk,117.13µm
net4112,117.035µm
_15232_,116.96µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.r_pp1_tw_r\[0\],116.895µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.r_idata_i\[1\]\[0\],116.85µm
u_fft_core.u_fft4.r_x0_im\[5\],116.77µm
net2783,116.73µm
net3320,116.685µm
_15261_,116.61µm
u_fft_core.mdc_ff0_data0_re\[0\],116.53µm
net3244,116.43µm
net3754,116.305µm
_14811_,116.22µm
net3251,116.175µm
clknet_7_31__leaf_i_clk,116.025µm
net2797,115.76µm
net3623,115.59µm
u_fft_core.shift_r4_data3_re\[7\],115.485µm
_14925_,115.45µm
_17315_,115.43µm
net3799,115.29µm
net3670,115.265µm
net3141,115.1µm
net2973,115.095µm
_11189_,115.075µm
net3100,114.965µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage3.next_data0_i\[2\],114.9µm
_14293_,114.73µm
net3115,114.7µm
u_fft_core.mdc_ff2_data0_re\[4\],114.66µm
_05996_,114.61µm
clknet_7_118__leaf_i_clk,114.57µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_r\[7\],113.98µm
net3515,113.915µm
clknet_7_117__leaf_i_clk,113.835µm
net3966,113.83µm
net3040,113.725µm
net3642,113.66µm
net27,113.555µm
net3757,113.5µm
_18038_,113.48µm
_02090_,113.41µm
net2931,113.35µm
_17258_,113.255µm
net3706,113.155µm
net2788,113.08µm
net3581,113.07µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_r\[4\],113.05µm
u_fft_core.u_twiddle_interface.data0_im_2q\[7\],113.05µm
_17571_,113.01µm
_15448_,113µm
net3070,112.93µm
clknet_7_43__leaf_i_clk,112.885µm
u_fft_core.mdc_ff3_data0_im\[0\],112.88µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.ds_switch_stage1.i_data_0r\[0\],112.88µm
_16004_,112.86µm
_13733_,112.68µm
net2987,112.66µm
net3730,112.66µm
u_fft_core.u_fft4.r_x2_im\[3\],112.455µm
clknet_7_127__leaf_i_clk,112.45µm
u_fft_core.u_fft4.r_x1_re\[6\],112.395µm
clknet_7_77__leaf_i_clk,112.38µm
u_fft_core.u_fft4.r_x1_re\[2\],112.365µm
clknet_7_102__leaf_i_clk,112.365µm
net3023,112.165µm
_15101_,112.085µm
clknet_7_109__leaf_i_clk,112.02µm
_15238_,111.86µm
_17304_,111.81µm
u_fft_core.u_twiddle_interface.data2_re_q\[1\],111.75µm
net3381,111.715µm
net3557,111.655µm
net3851,111.56µm
clknet_7_99__leaf_i_clk,111.445µm
u_fft_core.mdc_ff3_data1_im\[6\],111.27µm
net10,111.25µm
net3332,111.135µm
net3102,111.03µm
_17215_,111.005µm
u_fft_core.u_fft4.r_x1_im\[3\],110.99µm
_06776_,110.97µm
u_fft_core.shift_r2_ff2_data1_re\[1\],110.945µm
_05054_,110.92µm
_04349_,110.9µm
net3663,110.87µm
net2981,110.86µm
net4024,110.845µm
_15081_,110.835µm
u_fft_core.u_fft4.s1_od_sum_im\[8\],110.7µm
net3879,110.665µm
net2912,110.605µm
net2795,110.49µm
net3077,110.36µm
net4084,110.325µm
net3847,110.32µm
net3769,110.05µm
net2818,110.045µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage3.next_data1_r\[6\],109.94µm
u_fft_core.mdc_ff1_data0_im\[6\],109.87µm
net2786,109.34µm
_15086_,109.31µm
_03375_,109.21µm
u_fft_core.u_twiddle_interface.data0_re_q\[7\],109.2µm
net3685,109.05µm
net3033,108.905µm
u_fft_core.mdc_ff0_data0_re\[2\],108.865µm
net3908,108.81µm
_15097_,108.725µm
net3295,108.59µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_i\[0\]\[10\],108.55µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage3.next_data0_r\[3\],108.49µm
clknet_7_75__leaf_i_clk,108.49µm
net3682,108.41µm
net3915,108.39µm
u_fft_core.mdc_ff2_data0_re\[0\],108.375µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[0\]\[1\],108.37µm
net2972,108.355µm
net3818,108.335µm
net2906,108.33µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.r_bt0_i\[0\]\[2\],108.25µm
_15220_,108.13µm
u_fft_core.u_twiddle_interface.data0_re_q\[6\],108.115µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_i\[4\],108.02µm
_02653_,107.915µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.ds_switch_stage1.r_idata_i\[1\]\[9\],107.85µm
net3129,107.845µm
_08075_,107.82µm
net3640,107.79µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_i\[4\],107.715µm
u_fft_core.mdc_ff3_data0_re\[5\],107.685µm
u_fft_core.mdc_ff2_data0_im\[1\],107.66µm
u_fft_core.mdc_ff2_data1_im\[1\],107.655µm
net2977,107.655µm
_15091_,107.49µm
net3864,107.435µm
clknet_7_113__leaf_i_clk,107.38µm
_05053_,107.335µm
_05484_,107.25µm
clknet_7_91__leaf_i_clk,107.24µm
net3123,107.17µm
net21,107.065µm
_14924_,107.05µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage3.next_data0_r\[6\],107.04µm
u_fft_core.u_twiddle_interface.data1_im_q\[4\],106.95µm
u_fft_core.mdc_ff1_data1_im\[0\],106.84µm
_13594_,106.81µm
u_fft_core.shift_r2_ff2_data1_re\[2\],106.76µm
clknet_7_11__leaf_i_clk,106.76µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_r\[0\]\[9\],106.68µm
net3980,106.56µm
net2833,106.48µm
_02164_,106.435µm
u_fft_core.mdc_ff2_data0_im\[6\],106.375µm
_14573_,106.33µm
net3838,106.24µm
_05102_,106.2µm
clknet_7_3__leaf_i_clk,106.175µm
_14746_,106.14µm
net3179,106.11µm
net3434,106.085µm
net2763,106.065µm
_10609_,106.045µm
net3804,106µm
_03500_,105.945µm
net3209,105.88µm
_12246_,105.86µm
net3291,105.835µm
_13601_,105.81µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage3.next_data0_r\[7\],105.68µm
clknet_7_108__leaf_i_clk,105.655µm
clknet_7_12__leaf_i_clk,105.6µm
u_fft_core.u_twiddle_interface.data0_re_q\[1\],105.515µm
net2967,105.48µm
_10118_,105.34µm
net3912,105.29µm
clknet_7_58__leaf_i_clk,105.27µm
net3034,105.265µm
_13718_,105µm
_15229_,104.995µm
_14566_,104.97µm
net3031,104.81µm
net3613,104.795µm
clknet_7_95__leaf_i_clk,104.77µm
u_fft_core.u_fft4.s1_ev_sum_im\[8\],104.72µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.r_bt0_r\[0\]\[3\],104.7µm
net3549,104.645µm
net3699,104.54µm
_18008_,104.53µm
_15094_,104.45µm
net2777,104.34µm
clknet_7_92__leaf_i_clk,104.24µm
net40,104.165µm
net3929,104.07µm
_06930_,104.045µm
net3824,104µm
_14792_,103.98µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_i\[0\]\[12\],103.965µm
net2859,103.83µm
u_fft_core.mdc_ff0_data1_re\[0\],103.785µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data1_r\[2\],103.68µm
net2819,103.675µm
clknet_7_19__leaf_i_clk,103.585µm
u_fft_core.u_twiddle_interface.data3_im_q\[1\],103.44µm
net3746,103.44µm
net3882,103.385µm
clknet_7_70__leaf_i_clk,103.31µm
u_fft_core.u_fft4.s2_x3_re\[3\],103.1µm
net4111,103.025µm
clknet_7_23__leaf_i_clk,103.025µm
net37,102.875µm
net3664,102.81µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_i\[3\],102.8µm
clknet_7_72__leaf_i_clk,102.695µm
_13821_,102.645µm
u_fft_core.u_fft4.s1_od_sum_re\[8\],102.555µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.ds_switch_stage1.i_data_0r\[1\],102.51µm
_17185_,102.49µm
net3890,102.37µm
_14548_,102.25µm
clknet_7_87__leaf_i_clk,102.165µm
u_fft_core.mdc_ff1_data0_im\[4\],102.14µm
_15096_,102.115µm
net2824,102.09µm
u_fft_core.u_twiddle_interface.mult3_im\[0\],102.07µm
_14814_,102.06µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.ds_switch_stage1.i_data_0r\[8\],102.03µm
net3876,102.015µm
_10540_,101.985µm
u_fft_core.u_twiddle_interface.data3_im_q\[3\],101.965µm
u_fft_core.mdc_ff1_data1_im\[4\],101.915µm
net3092,101.865µm
clknet_7_94__leaf_i_clk,101.79µm
net8,101.77µm
net3059,101.755µm
u_fft_core.shift_r4_data1_im\[6\],101.695µm
_05274_,101.67µm
u_fft_core.mdc_ff2_data1_im\[6\],101.665µm
_03058_,101.59µm
_13819_,101.56µm
_09285_,101.495µm
_07249_,101.475µm
net3079,101.425µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.r_data0_r\[4\],101.35µm
net3755,101.34µm
net2969,101.325µm
net17,101.18µm
net3288,101.15µm
_14751_,100.98µm
clknet_7_17__leaf_i_clk,100.9µm
net3573,100.895µm
net3674,100.815µm
_04139_,100.8µm
net3427,100.79µm
net3336,100.78µm
net3628,100.715µm
u_fft_core.mdc_ff3_data1_im\[7\],100.69µm
clknet_7_90__leaf_i_clk,100.58µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.u_btfly2.o_data0_r\[4\],100.51µm
net2811,100.445µm
_15204_,100.435µm
net3821,100.435µm
_01329_,100.365µm
clknet_7_115__leaf_i_clk,100.315µm
net3763,100.22µm
net2852,100.095µm
net30,100.035µm
_07753_,100.025µm
net3259,100.02µm
u_fft_core.u_fft4.r_x3_re\[7\],100.005µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_i\[0\]\[11\],99.985µm
u_fft_core.shift_r4_data0_im\[6\],99.86µm
_02640_,99.795µm
clknet_7_121__leaf_i_clk,99.73µm
net2966,99.645µm
u_fft_core.shift_r2_ff2_data1_re\[3\],99.515µm
net2779,99.51µm
_05980_,99.43µm
net2965,99.315µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage3.next_data0_i\[6\],99.25µm
net3648,99.16µm
clknet_7_97__leaf_i_clk,99.075µm
_11602_,99.07µm
_12230_,99.05µm
net2773,99.02µm
net2858,98.98µm
_12938_,98.975µm
clknet_7_123__leaf_i_clk,98.88µm
_15237_,98.855µm
_08123_,98.85µm
net24,98.85µm
net2983,98.685µm
net3805,98.535µm
_15382_,98.39µm
net3903,98.39µm
clknet_7_116__leaf_i_clk,98.31µm
net3331,98.265µm
net3432,98.235µm
_07688_,98.225µm
net3489,98.205µm
clknet_leaf_514_i_clk,98.12µm
net4050,98.02µm
net3791,97.925µm
clknet_leaf_453_i_clk,97.91µm
clknet_7_126__leaf_i_clk,97.865µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage3.next_data1_i\[2\],97.8µm
u_fft_core.u_twiddle_interface.data1_re_q\[0\],97.745µm
_08986_,97.695µm
net4088,97.625µm
u_fft_core.shift_r4_data2_re\[6\],97.62µm
clknet_7_5__leaf_i_clk,97.59µm
net2881,97.53µm
net3020,97.48µm
_02163_,97.475µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_i\[7\],97.47µm
net3689,97.37µm
_07255_,97.255µm
clknet_7_7__leaf_i_clk,97.215µm
clknet_leaf_340_i_clk,97.095µm
_14416_,97.03µm
clknet_leaf_158_i_clk,97.02µm
net3976,97.015µm
net2841,96.995µm
clknet_7_1__leaf_i_clk,96.98µm
net3934,96.78µm
u_fft_core.mdc_ff1_data1_im\[6\],96.745µm
net3140,96.73µm
net3704,96.725µm
net4087,96.685µm
_16083_,96.675µm
u_fft_core.mdc_ff0_data1_re\[2\],96.655µm
net4122,96.64µm
_04219_,96.635µm
_14636_,96.61µm
net3828,96.465µm
u_fft_core.u_fft4.r_x1_im\[2\],96.42µm
net3902,96.415µm
clknet_leaf_117_i_clk,96.395µm
_06187_,96.38µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage3.next_data0_i\[0\],96.37µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage2.ds_switch_stage1.current_state,96.27µm
_06017_,96.21µm
net2836,96.175µm
_14804_,96.12µm
clknet_leaf_237_i_clk,96.085µm
net3675,96.08µm
net2921,96.065µm
net3676,96.065µm
u_fft_core.shift_r4_data1_re\[4\],96.02µm
_03953_,95.955µm
rx_data_im\[6\],95.935µm
net3451,95.88µm
u_fft_core.shift_r4_data1_re\[2\],95.84µm
_04296_,95.82µm
u_fft_core.shift_r4_data3_im\[3\],95.79µm
u_fft_core.shift_r2_ff2_data1_im\[5\],95.77µm
net4048,95.745µm
net3154,95.615µm
net3811,95.47µm
net3842,95.45µm
_09786_,95.415µm
clknet_7_4__leaf_i_clk,95.4µm
_15450_,95.28µm
net2832,95.25µm
_15874_,95.21µm
net3131,95.205µm
_08906_,95.105µm
u_fft_core.mdc_ff1_data0_re\[6\],94.935µm
net2914,94.915µm
_04425_,94.88µm
_13778_,94.88µm
_11121_,94.845µm
net3860,94.84µm
net3056,94.82µm
net2916,94.815µm
net3013,94.815µm
net2771,94.765µm
net3265,94.74µm
net2769,94.715µm
net3987,94.705µm
clknet_leaf_248_i_clk,94.67µm
clknet_leaf_485_i_clk,94.475µm
net3559,94.46µm
net2904,94.43µm
_05031_,94.4µm
u_fft_core.shift_r4_data3_im\[2\],94.38µm
net3654,94.355µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_r\[2\],94.35µm
_00069_,94.34µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.u_btfly2.o_data0_r\[5\],94.33µm
net3401,94.27µm
_12245_,94.22µm
net3506,94.12µm
net2848,94.065µm
net3205,94.055µm
net3626,94.045µm
_16196_,94.005µm
u_fft_core.mdc_ff0_data1_re\[4\],93.99µm
_08883_,93.865µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.r_bt0_i\[0\]\[5\],93.79µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage3.next_data0_i\[7\],93.75µm
u_fft_core.mdc_ff3_data0_re\[1\],93.705µm
net25,93.665µm
_18007_,93.61µm
clknet_7_112__leaf_i_clk,93.605µm
u_fft_core.mdc_ff1_data1_re\[1\],93.49µm
_12865_,93.455µm
_14350_,93.43µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage2.r_data0_r\[3\],93.34µm
net2910,93.275µm
net3742,93.275µm
_07092_,93.145µm
net32,93.035µm
_03199_,93.01µm
net3037,92.995µm
net3693,92.99µm
u_fft_core.shift_r4_data1_re\[1\],92.95µm
_04308_,92.88µm
clknet_leaf_19_i_clk,92.88µm
u_fft_core.shift_r4_data1_im\[2\],92.85µm
clknet_7_104__leaf_i_clk,92.835µm
net3749,92.83µm
net3085,92.805µm
net3770,92.795µm
u_fft_core.u_buffer_parallel2serial.read_ptr\[0\],92.78µm
net3514,92.775µm
_14764_,92.7µm
net3880,92.66µm
net3200,92.42µm
net2884,92.22µm
clknet_leaf_230_i_clk,92.19µm
net3255,92.16µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.ds_switch_stage1.r_idata_i\[1\]\[7\],92.155µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.i_data_0r\[2\],92.04µm
net3287,92.025µm
net2820,91.925µm
_05844_,91.92µm
clknet_7_110__leaf_i_clk,91.905µm
u_fft_core.u_fft4.s2_x3_im\[3\],91.77µm
u_fft_core.shift_r2_ff2_data1_re\[4\],91.735µm
net3683,91.62µm
net3099,91.605µm
net3518,91.6µm
clknet_leaf_467_i_clk,91.58µm
net2950,91.535µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[1\]\[15\],91.45µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.r_idata_r\[1\]\[6\],91.34µm
clknet_leaf_339_i_clk,91.29µm
net3725,91.115µm
u_debug_sys.u_debug_unit.mid_data_re_sync\[7\],91.09µm
net3186,91.035µm
u_fft_core.mdc_ff1_data0_im\[7\],91.01µm
net4056,91.005µm
net3418,90.96µm
net3127,90.955µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage3.next_data0_r\[6\],90.91µm
_10772_,90.895µm
net4017,90.87µm
clknet_7_9__leaf_i_clk,90.855µm
_16183_,90.85µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_r\[0\]\[18\],90.85µm
net6,90.84µm
_16627_,90.78µm
net2890,90.68µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.ds_switch_stage1.i_data_1i\[4\],90.66µm
_10415_,90.63µm
net3045,90.62µm
net3441,90.595µm
_02089_,90.55µm
net2791,90.55µm
u_fft_core.mdc_ff2_data1_im\[3\],90.535µm
net4027,90.535µm
clknet_leaf_86_i_clk,90.51µm
net2805,90.5µm
clknet_leaf_337_i_clk,90.465µm
u_fft_core.u_fft4.r_x2_im\[2\],90.365µm
_03251_,90.335µm
u_fft_core.u_fft4.s1_ev_sub_re\[4\],90.335µm
_06235_,90.3µm
net3064,90.285µm
net3896,90.28µm
clknet_leaf_296_i_clk,90.265µm
_13838_,90.235µm
_16310_,90.185µm
net2808,90.075µm
clknet_leaf_265_i_clk,90.03µm
clknet_leaf_247_i_clk,89.815µm
_12228_,89.79µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage3.next_data0_i\[3\],89.78µm
_17189_,89.765µm
clknet_leaf_56_i_clk,89.725µm
_16164_,89.66µm
_14853_,89.57µm
clknet_leaf_12_i_clk,89.545µm
