net,length_um
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_i\[4\],139.94µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.r_idata_r\[1\]\[7\],139.77µm
_18010_,139.665µm
clknet_7_98__leaf_i_clk,139.65µm
net3119,139.545µm
clknet_7_88__leaf_i_clk,139.495µm
clknet_7_125__leaf_i_clk,139.495µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.r_bt0_i\[0\]\[8\],139.45µm
net2807,139.335µm
_11019_,139.165µm
net3787,139.075µm
u_fft_core.twiddle_data3_im\[2\],139.01µm
_13624_,138.97µm
net4029,138.95µm
net3221,138.93µm
net3134,138.9µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.r_bt0_r\[0\]\[1\],138.72µm
